Sample_1,Sample_2,Jaccard,Euclidean,Cosine,Joint_Similarity,Common_Substance
SAM_016,SAM_027,0.545454545,0.781425671,0.675409269,0.667509623,Caffeine
SAM_016,SAM_027,0.545454545,0.781425671,0.675409269,0.667509623,Phenacetin
SAM_059,SAM_090,0.444444444,0.82220892,0.731157928,0.666589306,Meconine
SAM_059,SAM_090,0.444444444,0.82220892,0.731157928,0.666589306,Phenacetin
SAM_059,SAM_090,0.444444444,0.82220892,0.731157928,0.666589306,Heroin
SAM_059,SAM_090,0.444444444,0.82220892,0.731157928,0.666589306,Papaverine
SAM_007,SAM_027,0.545454545,0.8134427,0.640525101,0.666214625,Cocaine
SAM_007,SAM_027,0.545454545,0.8134427,0.640525101,0.666214625,Hydrocotarnine
SAM_007,SAM_027,0.545454545,0.8134427,0.640525101,0.666214625,Meconine
SAM_007,SAM_027,0.545454545,0.8134427,0.640525101,0.666214625,Acetaminophen
SAM_007,SAM_027,0.545454545,0.8134427,0.640525101,0.666214625,Papaverine
SAM_007,SAM_027,0.545454545,0.8134427,0.640525101,0.666214625,Caffeine
SAM_079,SAM_096,0.454545455,0.839196365,0.699808567,0.664869713,Cocaine
SAM_079,SAM_096,0.454545455,0.839196365,0.699808567,0.664869713,Meconine
SAM_079,SAM_096,0.454545455,0.839196365,0.699808567,0.664869713,Acetylcodeine
SAM_079,SAM_096,0.454545455,0.839196365,0.699808567,0.664869713,Heroin
SAM_079,SAM_096,0.454545455,0.839196365,0.699808567,0.664869713,Ecgonine methyl ester
SAM_047,SAM_100,0.5,0.793071384,0.700312584,0.664819835,Cocaine
SAM_047,SAM_100,0.5,0.793071384,0.700312584,0.664819835,Acetylcodeine
SAM_047,SAM_100,0.5,0.793071384,0.700312584,0.664819835,Acetaminophen
SAM_047,SAM_100,0.5,0.793071384,0.700312584,0.664819835,Ecgonine methyl ester
SAM_047,SAM_100,0.5,0.793071384,0.700312584,0.664819835,Heroin
SAM_032,SAM_063,0.571428571,0.749105035,0.673191431,0.664661177,Tetramisole or levamisole
SAM_032,SAM_063,0.571428571,0.749105035,0.673191431,0.664661177,Caffeine
SAM_032,SAM_063,0.571428571,0.749105035,0.673191431,0.664661177,Noscapine
SAM_032,SAM_063,0.571428571,0.749105035,0.673191431,0.664661177,Hydrocotarnine
SAM_002,SAM_090,0.428571429,0.80785441,0.75234562,0.663818038,Meconine
SAM_002,SAM_090,0.428571429,0.80785441,0.75234562,0.663818038,Phenacetin
SAM_002,SAM_090,0.428571429,0.80785441,0.75234562,0.663818038,Papaverine
SAM_054,SAM_079,0.583333333,0.802319176,0.599438309,0.661074353,Ecgonidine methyl ester
SAM_054,SAM_079,0.583333333,0.802319176,0.599438309,0.661074353,Meconine
SAM_054,SAM_079,0.583333333,0.802319176,0.599438309,0.661074353,Acetylcodeine
SAM_054,SAM_079,0.583333333,0.802319176,0.599438309,0.661074353,Heroin
